FID,Geocodigo,Nome,MoradDPPOCanalizCasaTot,MoradDPPOCanalizTerrTot,MoradDPPOSemCanalizTot,MoradDPPOTotTot,PercMoradDPPOCanalizCasaTot,PercMoradDPPOCanalizTerrTot,PercMoradDPPOSemCanalizTot
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6836,2603926,Carnaubeira da Penha - PE,3893,1822,6524,12239,31.81,14.89,53.31
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6835,2604007,Carpina - PE,70872,4963,3224,79059,89.64,6.28,4.08
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6834,2604106,Caruaru - PE,341224,8096,27123,376443,90.64,2.15,7.21
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6833,2604155,Casinhas - PE,4300,1048,7617,12965,33.17,8.08,58.75
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6832,2604205,Catende - PE,30117,1236,710,32063,93.93,3.85,2.21
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6831,2604304,Cedro - PE,9412,857,248,10517,89.49,8.15,2.36
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6830,2604403,Chã de Alegria - PE,9118,2544,1321,12983,70.23,19.59,10.17
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-682f,2610004,Palmares - PE,51412,1018,1322,53752,95.65,1.89,2.46
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-682e,2604502,Chã Grande - PE,17794,662,2073,20529,86.68,3.22,10.1
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-682d,2604601,Condado - PE,22131,1056,1329,24516,90.27,4.31,5.42
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-682c,2604700,Correntes - PE,15750,708,634,17092,92.15,4.14,3.71
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-682b,2604809,Cortês - PE,9717,356,124,10197,95.29,3.49,1.22
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-682a,2604908,Cumaru - PE,9056,1244,5604,15904,56.94,7.82,35.24
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6829,2605004,Cupira - PE,22759,410,339,23508,96.81,1.74,1.44
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6828,2605103,Custódia - PE,30693,2311,4667,37671,81.48,6.13,12.39
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6827,2605152,Dormentes - PE,13514,969,2702,17185,78.64,5.64,15.72
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6826,2605202,Escada - PE,56697,1660,1379,59736,94.91,2.78,2.31
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6825,2605301,Exu - PE,14472,6692,10658,31822,45.48,21.03,33.49
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6824,2605400,Feira Nova - PE,18038,1415,1973,21426,84.19,6.6,9.21
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6823,2605459,Fernando de Noronha - PE,2132,9,6,2147,99.3,0.42,0.28
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6822,2605509,Ferreiros - PE,10613,2110,2282,15005,70.73,14.06,15.21
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6821,3120839,Cuparaque - MG,3969,8,3,3980,99.72,0.2,0.08
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6820,2605608,Flores - PE,14593,2509,3213,20315,71.83,12.35,15.82
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-681f,2605707,Floresta - PE,23127,1373,5601,30101,76.83,4.56,18.61
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-681e,2605806,Frei Miguelinho - PE,6973,942,5709,13624,51.18,6.91,41.9
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-681d,2605905,Gameleira - PE,16222,1280,693,18195,89.16,7.03,3.81
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-681c,2606002,Garanhuns - PE,133632,3377,5070,142079,94.05,2.38,3.57
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-681b,2606101,Glória do Goitá - PE,21745,2192,5402,29339,74.12,7.47,18.41
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-681a,2606200,Goiana - PE,74588,2879,3388,80855,92.25,3.56,4.19
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6819,2606309,Granito - PE,4314,742,1889,6945,62.12,10.68,27.2
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6818,2606408,Gravatá - PE,80766,1328,4228,86322,93.56,1.54,4.9
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6817,2606507,Iati - PE,8032,3649,5476,17157,46.81,21.27,31.92
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6816,2606606,Ibimirim - PE,17060,5001,4500,26561,64.23,18.83,16.94
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6815,2606705,Ibirajuba - PE,4010,543,2587,7140,56.16,7.61,36.23
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6814,2606804,Igarassu - PE,108359,3931,2664,114954,94.26,3.42,2.32
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6813,2606903,Iguaracy - PE,8661,764,1639,11064,78.28,6.91,14.81
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6812,2607000,Inajá - PE,11479,9514,4597,25590,44.86,37.18,17.96
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6811,2607109,Ingazeira - PE,3729,467,566,4762,78.31,9.81,11.89
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6810,2607208,Ipojuca - PE,91643,5344,1475,98462,93.07,5.43,1.5
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-680f,2607307,Ipubi - PE,12141,3472,13383,28996,41.87,11.97,46.15
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-680e,2607406,Itacuruba - PE,3685,153,445,4283,86.04,3.57,10.39
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-680d,2607505,Itaíba - PE,19731,1494,11378,32603,60.52,4.58,34.9
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-680c,2607604,Ilha de Itamaracá - PE,18963,1475,1101,21539,88.04,6.85,5.11
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-680b,2607653,Itambé - PE,24844,8025,2020,34889,71.21,23,5.79
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-680a,2607703,Itapetim - PE,11512,672,1597,13781,83.54,4.88,11.59
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6809,2607752,Itapissuma - PE,23636,195,155,23986,98.54,0.81,0.65
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6808,2607802,Itaquitinga - PE,11730,2165,1581,15476,75.79,13.99,10.22
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6807,2607901,Jaboatão dos Guararapes - PE,598812,31548,12456,642816,93.15,4.91,1.94
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6806,2608008,Jataúba - PE,8139,1192,6471,15802,51.51,7.54,40.95
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6805,2608057,Jatobá - PE,11520,647,1823,13990,82.34,4.62,13.03
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6804,2608107,João Alfredo - PE,18036,1674,8010,27720,65.06,6.04,28.9
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6803,2608206,Joaquim Nabuco - PE,12434,530,302,13266,93.73,4,2.28
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6802,2608255,Jucati - PE,7855,606,3052,11513,68.23,5.26,26.51
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6801,2608305,Jupi - PE,11359,731,3233,15323,74.13,4.77,21.1
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6800,2608404,Jurema - PE,11586,409,1653,13648,84.89,3,12.11
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67ff,2608453,Lagoa do Carro - PE,12433,3018,2518,17969,69.19,16.8,14.01
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67fe,2608503,Lagoa de Itaenga - PE,16543,1214,1234,18991,87.11,6.39,6.5
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67fd,2608602,Lagoa do Ouro - PE,10095,1426,384,11905,84.8,11.98,3.23
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67fc,2608701,Lagoa dos Gatos - PE,11871,679,1517,14067,84.39,4.83,10.78
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67fb,2608750,Lagoa Grande - PE,20520,1946,1574,24040,85.36,8.09,6.55
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67fa,2802007,Divina Pastora - SE,3933,340,67,4340,90.62,7.83,1.54
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67f9,2608800,Lajedo - PE,30948,3268,5248,39464,78.42,8.28,13.3
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67f8,2608909,Limoeiro - PE,43330,5310,6638,55278,78.39,9.61,12.01
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67f7,2609006,Macaparana - PE,22156,1009,639,23804,93.08,4.24,2.68
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67f6,2609105,Machados - PE,10058,481,788,11327,88.8,4.25,6.96
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67f5,2609154,Manari - PE,8972,2029,12750,23751,37.78,8.54,53.68
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67f4,2609204,Maraial - PE,8251,684,418,9353,88.22,7.31,4.47
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67f3,2609303,Mirandiba - PE,10245,757,3146,14148,72.41,5.35,22.24
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67f2,2609402,Moreno - PE,48564,2894,3618,55076,88.18,5.25,6.57
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67f1,2609501,Nazaré da Mata - PE,26980,1884,1681,30545,88.33,6.17,5.5
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67f0,2609600,Olinda - PE,308352,29345,11566,349263,88.29,8.4,3.31
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67ef,2609709,Orobó - PE,15556,1685,4517,21758,71.5,7.74,20.76
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67ee,2609808,Orocó - PE,12050,1148,403,13601,88.6,8.44,2.96
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67ed,2609907,Ouricuri - PE,39970,4948,20294,65212,61.29,7.59,31.12
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67ec,2610103,Palmeirina - PE,6368,486,176,7030,90.58,6.91,2.5
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67eb,2610202,Panelas - PE,17206,1214,4565,22985,74.86,5.28,19.86
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67ea,2610301,Paranatama - PE,8847,434,2906,12187,72.59,3.56,23.85
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67e9,2610400,Parnamirim - PE,13117,743,4739,18599,70.53,3.99,25.48
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67e8,2610509,Passira - PE,19820,2942,5574,28336,69.95,10.38,19.67
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67e7,2610608,Paudalho - PE,48549,4738,3309,56596,85.78,8.37,5.85
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67e6,2610707,Paulista - PE,313844,20880,6868,341592,91.88,6.11,2.01
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67e5,2610806,Pedra - PE,12418,2401,7956,22775,54.52,10.54,34.93
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67e4,2610905,Pesqueira - PE,41949,5429,14671,62049,67.61,8.75,23.64
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67e3,2611002,Petrolândia - PE,30571,2683,867,34121,89.6,7.86,2.54
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67e2,2611101,Petrolina - PE,373014,8381,3939,385334,96.8,2.18,1.02
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67e1,2611200,Poção - PE,2594,580,7321,10495,24.72,5.53,69.76
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67e0,2612455,Santa Cruz - PE,8519,1590,3726,13835,61.58,11.49,26.93
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67df,2611309,Pombos - PE,23033,817,3699,27549,83.61,2.97,13.43
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67de,2611408,Primavera - PE,12331,675,819,13825,89.19,4.88,5.92
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67dd,2611507,Quipapá - PE,16211,511,1199,17921,90.46,2.85,6.69
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67dc,2611533,Quixaba - PE,4455,364,1732,6551,68,5.56,26.44
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67db,2611606,Recife - PE,1429152,37831,12534,1479517,96.6,2.56,0.85
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67da,2611705,Riacho das Almas - PE,10857,1190,8591,20638,52.61,5.77,41.63
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67d9,2611804,Ribeirão - PE,31754,1219,516,33489,94.82,3.64,1.54
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67d8,2611903,Rio Formoso - PE,18746,802,448,19996,93.75,4.01,2.24
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67d7,2612000,Sairé - PE,8706,835,1339,10880,80.02,7.67,12.31
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67d6,2612109,Salgadinho - PE,2657,351,2719,5727,46.39,6.13,47.48
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67d5,2612208,Salgueiro - PE,53159,2337,6460,61956,85.8,3.77,10.43
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67d4,2612307,Saloá - PE,10341,1909,1532,13782,75.03,13.85,11.12
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67d3,2612406,Sanharó - PE,13417,1039,4166,18622,72.05,5.58,22.37
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67d2,2612471,Santa Cruz da Baixa Verde - PE,9682,757,1128,11567,83.7,6.54,9.75
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67d1,2612505,Santa Cruz do Capibaribe - PE,61809,10174,25541,97524,63.38,10.43,26.19
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67d0,2612554,Santa Filomena - PE,6023,1434,4649,12106,49.75,11.85,38.4
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67cf,2612604,Santa Maria da Boa Vista - PE,34900,3754,1859,40513,86.15,9.27,4.59
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67ce,2612703,Santa Maria do Cambucá - PE,7828,1500,4679,14007,55.89,10.71,33.4
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67cd,2612802,Santa Terezinha - PE,7688,281,2264,10233,75.13,2.75,22.12
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67cc,2612901,São Benedito do Sul - PE,11448,1423,234,13105,87.36,10.86,1.79
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67cb,2613008,São Bento do Una - PE,24130,4914,20307,49351,48.89,9.96,41.15
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67ca,2613107,São Caitano - PE,27829,2139,7075,37043,75.13,5.77,19.1
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67c9,2613206,São João - PE,18786,1261,3779,23826,78.85,5.29,15.86
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67c8,2613305,São Joaquim do Monte - PE,17539,404,2049,19992,87.73,2.02,10.25
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67c7,2613404,São José da Coroa Grande - PE,18180,390,201,18771,96.85,2.08,1.07
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67c6,2614709,Tacaimbó - PE,8070,409,4598,13077,61.71,3.13,35.16
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67c5,2613503,São José do Belmonte - PE,29814,3073,1925,34812,85.64,8.83,5.53
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67c4,2613602,São José do Egito - PE,27963,1164,1831,30958,90.33,3.76,5.91
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67c3,2613701,São Lourenço da Mata - PE,99642,4230,7162,111034,89.74,3.81,6.45
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67c2,2613800,São Vicente Férrer - PE,14023,647,1997,16667,84.14,3.88,11.98
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67c1,2613909,Serra Talhada - PE,81786,4068,6265,92119,88.78,4.42,6.8
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67c0,2614006,Serrita - PE,11898,2773,3536,18207,65.35,15.23,19.42
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67bf,2614105,Sertânia - PE,20586,2900,9238,32724,62.91,8.86,28.23
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67be,2614204,Sirinhaém - PE,35094,1642,834,37570,93.41,4.37,2.22
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67bd,2614303,Moreilândia - PE,4478,1806,4247,10531,42.52,17.15,40.33
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67bc,2614402,Solidão - PE,3339,586,1271,5196,64.26,11.28,24.46
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67bb,2614501,Surubim - PE,53521,2130,8379,64030,83.59,3.33,13.09
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67ba,2614600,Tabira - PE,24986,749,1903,27638,90.4,2.71,6.89
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67b9,3103900,Araújos - MG,9161,6,3,9170,99.9,0.07,0.03
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-67b8,2614808,Tacaratu - PE,15386,2811,5687,23884,64.42,11.77,23.81
